Additional Order items,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Segment,Customer State,Customer Zipcode,Market,Order Customer Id,Order Date,Order Id,Order Region,Order Item Total,Order Quantity,Product Price,Profit Margin,Profit Per Order,Sales
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Mary,4899,Consumer,PR,725,LATAM,4899,06-11-2017,61171,Central America,251.9799957,1,299.980011,41.20%,123.4700012,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Mary,12322,Consumer,PR,725,LATAM,12322,28-04-2017,58100,Central America,251.9799957,1,299.980011,28.40%,85.16999817,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Mark,714,Consumer,PR,725,LATAM,714,19-04-2017,57525,Central America,251.9799957,1,299.980011,-64.40%,-193.2700043,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Mary,9204,Consumer,PR,725,LATAM,9204,18-04-2017,57461,Central America,251.9799957,1,299.980011,22.10%,66.26999664,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Mary,5421,Consumer,PR,725,LATAM,5421,14-04-2017,57146,South America,251.9799957,1,299.980011,-148.40%,-445.25,800
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,David,9923,Consumer,PR,725,LATAM,9923,31-01-2017,52183,Caribbean,248.9799957,1,299.980011,-8.30%,-24.89999962,800
Cleats,Cleats,Bayamon,Puerto Rico,Mary,9083,Home Office,PR,957,Pacific Asia,9083,24-02-2016,28744,South Asia,115.1800003,2,59.99000168,-25.60%,-30.75,119.9800034
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Mary,4741,Home Office,PR,725,Pacific Asia,4741,25-10-2016,45461,West Asia,79.18000031,2,39.99000168,-153.50%,-122.7300034,79.98000336
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Elizabeth,639,Home Office,PR,725,Pacific Asia,639,30-03-2016,31115,Oceania,96,2,50,33.60%,33.59999847,100
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Katherine,9702,Home Office,PR,725,Pacific Asia,9702,30-10-2016,45766,West Asia,75.98000336,2,39.99000168,30.90%,24.69000053,79.98000336
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,9114,Home Office,PR,725,Pacific Asia,9114,28-11-2016,47752,Eastern Asia,91,2,50,9.10%,9.100000381,100
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Dennis,1362,Home Office,PR,725,Pacific Asia,1362,31-12-2016,50054,West Asia,87,2,50,-21.80%,-21.75,100
Electronics,Electronics,Caguas,Puerto Rico,Mary,3296,Home Office,PR,725,USCA,3296,06-11-2016,36146,West of USA,74.68000031,2,44.99000168,24.90%,22.40999985,89.98000336
Boxing & MMA,Boxing & MMA,Caguas,Puerto Rico,Frances,3182,Home Office,PR,725,USCA,3182,24-08-2016,41234,West of USA,90.15000153,2,54.97000122,23.00%,25.23999977,109.9400024
Cleats,Cleats,Caguas,Puerto Rico,Alice,7864,Home Office,PR,725,USCA,7864,13-04-2016,32090,West of USA,117.5800018,2,59.99000168,25.50%,30.5699997,119.9800034
Cleats,Cleats,Caguas,Puerto Rico,Kyle,11169,Home Office,PR,725,USCA,11169,22-05-2016,34773,US Center,95.98000336,2,59.99000168,38.40%,46.0699997,119.9800034
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Brenda,5197,Home Office,PR,725,Africa,5197,10-04-2016,44046,West Africa,263.9700012,3,99.98999786,-61.60%,-184.7799988,299.9700012
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Frank,1535,Home Office,PR,725,Africa,1535,11-08-2016,46414,Central Africa,113.9700012,3,39.99000168,32.30%,38.75,119.9700012
Trade-In,Trade-In,Caguas,Puerto Rico,Johnny,6122,Home Office,PR,725,Africa,6122,11-11-2016,46599,West Africa,63.99000168,3,21.98999977,-5.50%,-3.650000095,65.97000122
Electronics,Electronics,Caguas,Puerto Rico,Mary,9451,Home Office,PR,725,Africa,9451,12-08-2016,48434,North Africa,79.66000366,3,31.98999977,39.80%,38.22999954,95.97000122
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Hannah,11329,Home Office,PR,725,Europe,11329,22-07-2017,63936,Western Europe,269.9700012,3,99.98999786,44.10%,132.2899933,800
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Mary,3570,Home Office,PR,725,Europe,3570,08-07-2017,65030,Western Europe,224.9799957,3,99.98999786,25.30%,76.04000092,800
Cleats,Cleats,Caguas,Puerto Rico,Michael,9353,Home Office,PR,725,Europe,9353,07-02-2017,62571,Northern Europe,167.3699951,3,59.99000168,24.20%,43.52000046,179.9700012
Cleats,Cleats,Caguas,Puerto Rico,Vincent,12151,Home Office,PR,725,Europe,12151,20-08-2017,65922,Western Europe,161.9700012,3,59.99000168,22.50%,40.49000168,179.9700012
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Hannah,11329,Home Office,PR,725,Europe,11329,22-07-2017,63936,Western Europe,139.5,3,50,14.00%,20.93000031,150
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Gregory,10018,Home Office,PR,725,Europe,10018,08-04-2017,64813,Northern Europe,107.9700012,3,39.99000168,10.20%,12.19999981,119.9700012
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Frances,3182,Home Office,PR,725,Europe,3182,18-09-2017,67892,Western Europe,112.5,3,50,8.50%,12.71000004,150
Cleats,Cleats,Caguas,Puerto Rico,Megan,1025,Home Office,PR,725,LATAM,1025,04-02-2017,56359,Central America,178.1699982,3,59.99000168,-158.40%,-285.0700073,179.9700012
Cleats,Cleats,Caguas,Puerto Rico,Mary,8831,Home Office,PR,725,LATAM,8831,05-05-2017,58613,Central America,170.9700012,3,59.99000168,23.70%,42.74000168,179.9700012
Cleats,Cleats,Caguas,Puerto Rico,Mary,9854,Home Office,PR,725,LATAM,9854,06-06-2017,60807,Caribbean,152.9700012,3,59.99000168,-65.20%,-117.3300018,179.9700012
Cleats,Cleats,Caguas,Puerto Rico,Grace,376,Home Office,PR,725,LATAM,376,18-02-2017,53413,South America,152.9700012,3,59.99000168,26.60%,47.88000107,179.9700012
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,8541,Home Office,PR,725,LATAM,8541,04-11-2017,56973,South America,144,3,50,15.60%,23.46999931,150
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,3752,Home Office,PR,725,LATAM,3752,16-03-2017,55155,Central America,139.5,3,50,29.10%,43.65999985,150
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,10485,Home Office,PR,725,LATAM,10485,18-02-2017,53403,Central America,124.5,3,50,10.40%,15.56000042,150
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Ronald,9272,Home Office,PR,725,LATAM,9272,18-01-2017,51298,South America,99.58000183,3,39.99000168,27.40%,32.86000061,119.9700012
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Tammy,6398,Consumer,PR,725,LATAM,6398,02-07-2017,52640,South America,189.9499969,5,39.99000168,27.60%,55.09000015,199.9499969
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,8917,Consumer,PR,725,LATAM,8917,13-04-2017,57106,South America,236.25,5,50,20.80%,51.97999954,250
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Christina,1425,Consumer,PR,725,LATAM,1425,31-01-2017,52166,Caribbean,136.5,5,30,44.60%,66.88999939,150
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Mary,2737,Consumer,PR,725,LATAM,2737,30-03-2017,56172,Caribbean,181.9499969,5,39.99000168,5.70%,11.46000004,199.9499969
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,6428,Consumer,PR,725,LATAM,6428,25-03-2017,55829,Caribbean,225,5,50,9.00%,22.5,250
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Alexander,6543,Consumer,PR,725,LATAM,6543,02-05-2017,52478,Central America,225,5,50,27.00%,67.5,250
Shop By Sport,Shop By Sport,Guayama,Puerto Rico,Sandra,3990,Consumer,PR,784,LATAM,3990,15-04-2017,57242,Central America,173.9600067,5,39.99000168,39.10%,78.27999878,199.9499969
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,9204,Consumer,PR,725,LATAM,9204,27-05-2017,60127,South America,217.5,5,50,19.10%,47.84999847,250
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,9554,Consumer,PR,725,LATAM,9554,31-05-2017,60386,South America,212.5,5,50,3.40%,8.5,250
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Gregory,5506,Consumer,PR,725,LATAM,5506,26-04-2017,57999,Central America,207.5,5,50,28.10%,70.13999939,250
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,1423,Consumer,PR,725,LATAM,1423,03-07-2017,54585,South America,207.5,5,50,29.10%,72.62999725,250
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,138,Consumer,PR,725,LATAM,138,20-04-2017,57598,Caribbean,200,5,50,-56.00%,-140,250
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Mary,6360,Consumer,PR,725,LATAM,6360,03-03-2017,54274,Central America,200,5,50,-13.00%,-32.59999847,250
Shop By Sport,Shop By Sport,Caguas,Puerto Rico,Ronald,2053,Consumer,PR,725,LATAM,2053,06-04-2017,60673,Central America,149.9600067,5,39.99000168,34.50%,68.98000336,199.9499969
Women's Apparel,Women's Apparel,Juana Diaz,Puerto Rico,Mary,10344,Consumer,PR,795,LATAM,10344,16-05-2017,59387,Central America,187.5,5,50,-4.70%,-11.81000042,250
Women's Apparel,Women's Apparel,Caguas,Puerto Rico,Tammy,6398,Consumer,PR,725,LATAM,6398,02-07-2017,52640,South America,187.5,5,50,21.00%,52.5,250
Electronics,Electronics,Caguas,Puerto Rico,Melissa,1339,Consumer,PR,725,LATAM,1339,28-03-2017,55984,Central America,237.5500031,5,47.99000168,12.40%,29.69000053,239.9499969
Electronics,Electronics,Caguas,Puerto Rico,Alexander,6543,Consumer,PR,725,LATAM,6543,02-05-2017,52478,Central America,153.5500031,5,31.98999977,46.10%,73.69999695,159.9499969
Kids' Golf Clubs,Kids' Golf Clubs,Guayama,Puerto Rico,Sandra,3990,Consumer,PR,784,LATAM,3990,05-02-2017,58375,Central America,395.9599915,5,89.98999786,-17.60%,-79.19000244,449.9500122
Hunting & Shooting,Hunting & Shooting,Caguas,Puerto Rico,Mary,7247,Consumer,PR,725,LATAM,7247,04-03-2017,56448,Caribbean,124.4599991,5,29.98999977,23.20%,34.84999847,149.9499969
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Eugene,6277,Consumer,PR,725,LATAM,6277,27-04-2017,58034,Central America,499.9500122,5,99.98999786,30.00%,149.9900055,800
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,John,4126,Consumer,PR,725,LATAM,4126,13-02-2017,53069,South America,484.9500122,5,99.98999786,28.10%,140.6399994,800
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Mary,9528,Consumer,PR,725,LATAM,9528,27-05-2017,60146,Central America,479.9500122,5,99.98999786,7.20%,36,800
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Mary,1853,Consumer,PR,725,LATAM,1853,19-03-2017,55409,South America,479.9500122,5,99.98999786,36.00%,179.9799957,800
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Mary,6887,Consumer,PR,725,LATAM,6887,14-04-2017,57185,Central America,449.9599915,5,99.98999786,-54.00%,-269.9700012,800
Boxing & MMA,Boxing & MMA,Caguas,Puerto Rico,Mary,10668,Consumer,PR,725,LATAM,10668,06-12-2017,61192,South America,337.4599915,5,89.98999786,13.10%,59.06000137,449.9500122
Cleats,Cleats,Caguas,Puerto Rico,Mary,5421,Consumer,PR,725,LATAM,5421,26-03-2017,55876,Central America,299.9500122,5,59.99000168,47.00%,140.9799957,299.9500122
Cleats,Cleats,Caguas,Puerto Rico,Nicole,10200,Consumer,PR,725,LATAM,10200,17-02-2017,53331,Central America,296.9500122,5,59.99000168,27.20%,81.66000366,299.9500122
Cleats,Cleats,Caguas,Puerto Rico,Sharon,11254,Consumer,PR,725,LATAM,11254,25-01-2017,51725,Central America,296.9500122,5,59.99000168,6.10%,18.40999985,299.9500122
Cleats,Cleats,Caguas,Puerto Rico,Mary,11106,Consumer,PR,725,LATAM,11106,02-06-2017,52562,South America,293.9500122,5,59.99000168,11.10%,33.22000122,299.9500122
Cleats,Cleats,Caguas,Puerto Rico,Mary,8456,Consumer,PR,725,LATAM,8456,22-05-2017,59754,Central America,290.9500122,5,59.99000168,8.40%,25.30999947,299.9500122
Cleats,Cleats,Caguas,Puerto Rico,Matthew,6149,Consumer,PR,725,LATAM,6149,21-02-2017,53574,Central America,287.9500122,5,59.99000168,-80.00%,-239.8600006,299.9500122
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Jerry,1840,Consumer,PR,725,Africa,1840,15-01-2017,51050,Central Africa,86.98999786,1,99.98999786,40.00%,40.02000046,800
Men's Footwear,Men's Footwear,Caguas,Puerto Rico,Mary,6757,Consumer,PR,725,Africa,6757,28-10-2016,45680,North Africa,127.3899994,1,129.9900055,34.30%,44.59000015,129.9900055
Men's Footwear,Men's Footwear,Caguas,Puerto Rico,Laura,3972,Consumer,PR,725,Africa,3972,19-09-2016,42992,East Africa,118.2900009,1,129.9900055,44.60%,57.95999908,129.9900055
Men's Footwear,Men's Footwear,Caguas,Puerto Rico,Megan,9316,Consumer,PR,725,Africa,9316,25-08-2016,41304,North Africa,116.9899979,1,129.9900055,23.40%,30.42000008,129.9900055
Cleats,Cleats,Caguas,Puerto Rico,Mary,6757,Consumer,PR,725,Africa,6757,28-10-2016,45680,North Africa,49.18999863,1,59.99000168,41.00%,24.60000038,59.99000168
Men's Footwear,Men's Footwear,Caguas,Puerto Rico,Mary,11213,Consumer,PR,725,Africa,11213,10-07-2016,44253,West Africa,103.9899979,1,129.9900055,37.60%,48.88000107,129.9900055
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Jack,3474,Consumer,PR,725,Africa,3474,11-03-2016,46098,North Africa,296.980011,1,299.980011,0.00%,0,299.980011
Camping & Hiking,Camping & Hiking,Caguas,Puerto Rico,Megan,9316,Consumer,PR,725,Africa,9316,25-08-2016,41304,North Africa,293.980011,1,299.980011,31.80%,95.54000092,299.980011
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Kirestin,14630,Consumer,PR,725,Europe,14630,11-03-2017,71077,Southern Europe,252.8800049,1,252.8800049,-20.00%,-50.58000183,252.8800049
Cameras,Cameras,Caguas,Puerto Rico,Nora,13256,Consumer,PR,725,Europe,13256,14-10-2017,69703,Western Europe,447.519989,1,452.0400085,26.70%,120.8300018,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Jennifer,14665,Consumer,PR,725,Europe,14665,11-04-2017,71112,Western Europe,250.3500061,1,252.8800049,9.90%,25.04000092,252.8800049
Cameras,Cameras,Caguas,Puerto Rico,Madonna,13363,Consumer,PR,725,Europe,13363,16-10-2017,69810,Western Europe,443,1,452.0400085,47.00%,212.6399994,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Noelani,14645,Consumer,PR,725,Europe,14645,11-03-2017,71092,Western Europe,245.2899933,1,252.8800049,27.20%,68.68000031,252.8800049
Cameras,Cameras,Caguas,Puerto Rico,Sydnee,13163,Consumer,PR,725,Europe,13163,13-10-2017,69610,Southern Europe,433.9599915,1,452.0400085,30.00%,135.8300018,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Willa,14553,Consumer,PR,725,Europe,14553,11-02-2017,71000,Western Europe,240.2400055,1,252.8800049,30.90%,78.08000183,252.8800049
Computers,Computers,Caguas,Puerto Rico,Alma,14287,Consumer,PR,725,Europe,14287,29-10-2017,70734,Northern Europe,1417.5,1,1500,39.70%,595.3499756,1500
Cameras,Cameras,Caguas,Puerto Rico,Ila,13179,Consumer,PR,725,Europe,13179,13-10-2017,69626,Western Europe,427.1799927,1,452.0400085,4.70%,21.36000061,452.0400085
Cameras,Cameras,Caguas,Puerto Rico,Belle,13035,Consumer,PR,725,Europe,13035,10-11-2017,69482,Western Europe,427.1799927,1,452.0400085,47.30%,213.5899963,452.0400085
Computers,Computers,Caguas,Puerto Rico,Alyssa,14322,Consumer,PR,725,Europe,14322,30-10-2017,70769,Northern Europe,1395,1,1500,3.70%,55.79999924,1500
Cameras,Cameras,Caguas,Puerto Rico,Lani,13196,Consumer,PR,725,Europe,13196,13-10-2017,69643,Southern Europe,420.3999939,1,452.0400085,27.90%,126.1200027,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Demetria,14604,Consumer,PR,725,Europe,14604,11-03-2017,71051,Northern Europe,230.1199951,1,252.8800049,2.70%,6.900000095,252.8800049
Cameras,Cameras,Caguas,Puerto Rico,Joan,12961,Consumer,PR,725,Europe,12961,10-10-2017,69408,Southern Europe,411.3599854,1,452.0400085,-61.40%,-277.6700134,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Gay,14676,Consumer,PR,725,Europe,14676,11-04-2017,71123,Southern Europe,230.1199951,4,252.8800049,41.90%,105.8600006,252.8800049
Computers,Computers,Caguas,Puerto Rico,Audrey,14087,Consumer,PR,725,Europe,14087,26-10-2017,70534,Western Europe,1365,4,1500,5.70%,86,1500
Cameras,Cameras,Caguas,Puerto Rico,Riley,13194,Consumer,PR,725,Europe,13194,13-10-2017,69641,Southern Europe,406.8399963,4,452.0400085,43.20%,195.2799988,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Imani,14513,Consumer,PR,725,Europe,14513,11-01-2017,70960,Western Europe,227.5899963,4,252.8800049,9.00%,22.76000023,252.8800049
Cameras,Cameras,Caguas,Puerto Rico,Mechelle,13461,Consumer,PR,725,Europe,13461,17-10-2017,69908,Northern Europe,384.230011,4,452.0400085,40.00%,180.5899963,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Imani,14510,Consumer,PR,725,Europe,14510,11-01-2017,70957,Western Europe,214.9499969,4,252.8800049,40.00%,101.0299988,252.8800049
Cameras,Cameras,Caguas,Puerto Rico,Whitney,13190,Consumer,PR,725,Europe,13190,13-10-2017,69637,Western Europe,379.7099915,4,452.0400085,26.30%,118.8499985,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Roanna,14508,Consumer,PR,725,Europe,14508,11-01-2017,70955,Northern Europe,209.8899994,4,252.8800049,24.10%,60.86999893,252.8800049
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Vivian,14472,Consumer,PR,725,Europe,14472,11-01-2017,70919,Southern Europe,209.8899994,4,252.8800049,29.00%,73.45999908,252.8800049
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Xantha,14562,Consumer,PR,725,Europe,14562,11-02-2017,71009,Western Europe,209.8899994,4,252.8800049,15.80%,39.88000107,252.8800049
Cameras,Cameras,Caguas,Puerto Rico,Zia,13206,Consumer,PR,725,Europe,13206,13-10-2017,69653,Northern Europe,370.6700134,4,452.0400085,39.40%,177.9199982,452.0400085
Cameras,Cameras,Caguas,Puerto Rico,Mara,13080,Consumer,PR,725,Europe,13080,10-11-2017,69527,Southern Europe,370.6700134,4,452.0400085,28.70%,129.7400055,452.0400085
Consumer Electronics,Consumer Electronics,Caguas,Puerto Rico,Sloane,14633,Consumer,PR,725,Europe,14633,11-03-2017,71080,Western Europe,207.3600006,4,252.8800049,24.60%,62.20999908,252.8800049
Computers,Computers,Caguas,Puerto Rico,Winifred,14097,Consumer,PR,725,Europe,14097,26-10-2017,70544,Northern Europe,1200,4,1500,6.00%,90,1500
Cameras,Cameras,Caguas,Puerto Rico,Giselle,13024,Consumer,PR,725,Europe,13024,10-11-2017,69471,Northern Europe,339.0299988,4,452.0400085,26.20%,118.6600037,452.0400085
Basketball,Basketball,Caguas,Puerto Rico,John,778,Consumer,PR,725,Europe,778,10-02-2017,68879,Western Europe,989.9899902,4,999.9899902,41.60%,415.7999878,999.9899902
Soccer,Soccer,Caguas,Puerto Rico,Nancy,7146,Consumer,PR,725,Europe,7146,09-08-2017,67214,Southern Europe,78.38999939,4,79.98999786,10.80%,8.619999886,79.98999786
Cardio Equipment,Cardio Equipment,Caguas,Puerto Rico,Ruth,8524,Consumer,PR,725,Europe,8524,08-08-2017,65109,Western Europe,95.98999786,4,99.98999786,25.90%,25.92000008,99.98999786
Electronics,Electronics,Freeport,United States,Patricia,1509,Consumer,NY,11520,USCA,1509,05-08-2016,33824,US Center,128.2200012,3,44.99000168,21.40%,28.85000038,134.9700012
Cardio Equipment,Cardio Equipment,Fort Washington,United States,Julie,1636,Consumer,MD,20744,USCA,1636,04-02-2016,31364,West of USA,278.9700012,3,99.98999786,44.60%,133.9100037,299.9700012
Cardio Equipment,Cardio Equipment,Bakersfield,United States,Lisa,2784,Consumer,CA,93304,USCA,2784,14-08-2016,40495,West of USA,272.9700012,3,99.98999786,26.40%,79.16000366,299.9700012
Cardio Equipment,Cardio Equipment,Fort Washington,United States,Julie,1636,Consumer,MD,20744,USCA,1636,04-02-2016,31364,West of USA,272.9700012,3,99.98999786,6.40%,19.11000061,299.9700012
Cleats,Cleats,Corona,United States,Tyler,9174,Consumer,NY,11368,USCA,9174,18-05-2016,34506,West of USA,170.9700012,3,59.99000168,6.00%,10.77000046,179.9700012
Cleats,Cleats,Cincinnati,United States,Karen,122,Consumer,OH,45238,USCA,122,05-05-2016,33607,West of USA,167.3699951,3,59.99000168,-158.10%,-284.5299988,179.9700012
Cleats,Cleats,Germantown,United States,Shawn,3800,Consumer,MD,20874,USCA,3800,21-04-2016,32617,East of USA,158.3699951,3,59.99000168,38.70%,69.68000031,179.9700012
Shop By Sport,Shop By Sport,Carrollton,United States,Mary,10029,Consumer,TX,75006,USCA,10029,07-01-2016,37496,US Center,118.7699966,3,39.99000168,6.20%,7.480000019,119.9700012
Girls' Apparel,Girls' Apparel,Germantown,United States,Shawn,3800,Consumer,MD,20874,USCA,3800,21-04-2016,32617,East of USA,73.5,3,25,14.70%,11.02999973,75
Women's Apparel,Women's Apparel,Houston,United States,Willie,2805,Consumer,TX,77093,USCA,2805,17-12-2016,49075,Canada,132,3,50,-16.50%,-24.8199997,150
Women's Apparel,Women's Apparel,Freeport,United States,Patricia,1509,Consumer,NY,11520,USCA,1509,05-08-2016,33824,US Center,132,3,50,22.00%,33,150
Women's Apparel,Women's Apparel,Houston,United States,Willie,2805,Consumer,TX,77093,USCA,2805,17-12-2016,49075,Canada,130.5,3,50,24.40%,36.54000092,150
Shop By Sport,Shop By Sport,Carlisle,United States,Mary,12253,Consumer,PA,17013,USCA,12253,30-08-2016,41623,Canada,99.58000183,3,39.99000168,-63.70%,-76.37000275,119.9700012
Shop By Sport,Shop By Sport,Los Angeles,United States,Nicole,3528,Consumer,CA,90023,USCA,3528,27-07-2016,39271,East of USA,99.58000183,3,39.99000168,7.30%,8.760000229,119.9700012
NA,Accessories,Ewa Beach,United States,Bruce,11018,Consumer,HI,96706,USCA,11018,17-07-2016,38598,US Center,74.22000122,3,24.98999977,48.50%,36.36999893,74.97000122
Trade-In,Trade-In,Lakewood,United States,Mary,3222,Consumer,NJ,8701,USCA,3222,07-06-2016,37845,US Center,40.29000092,3,15.98999977,37.80%,18.12999916,47.97000122
Cleats,Cleats,Rome,United States,Melissa,6246,Consumer,NY,13440,Africa,6246,09-09-2016,42331,East Africa,227.9600067,4,59.99000168,-5.40%,-12.98999977,239.9600067
Cleats,Cleats,Vista,United States,Gregory,8741,Consumer,CA,92083,Africa,8741,26-08-2016,41345,North Africa,203.9700012,4,59.99000168,30.90%,74.04000092,239.9600067
Women's Apparel,Women's Apparel,Fort Worth,United States,Elizabeth,8050,Consumer,TX,76106,Africa,8050,16-01-2017,51168,West Africa,200,4,50,45.00%,90,200
Shop By Sport,Shop By Sport,Fort Worth,United States,Elizabeth,8050,Consumer,TX,76106,Africa,8050,16-01-2017,51168,West Africa,156.7599945,4,39.99000168,-1.40%,-2.190000057,159.9600067
Women's Apparel,Women's Apparel,Fond Du Lac,United States,Mary,5474,Consumer,WI,54935,Africa,5474,28-09-2016,43599,North Africa,189,4,50,42.50%,85.05000305,200
NA,Accessories,Philadelphia,United States,Mary,474,Consumer,PA,19139,Africa,474,09-03-2016,41901,West Africa,79.97000122,4,24.98999977,3.00%,3.039999962,99.95999908
Cardio Equipment,Cardio Equipment,Ontario,United States,Mary,12255,Consumer,CA,91764,Africa,12255,16-09-2016,42751,East Africa,363.9599915,4,99.98999786,-66.70%,-266.7900085,399.9599915
Cleats,Cleats,Oviedo,United States,Mark,10288,Consumer,FL,32765,Africa,10288,20-10-2016,45088,North Africa,239.9600067,4,59.99000168,27.00%,64.79000092,239.9600067
Water Sports,Water Sports,Seattle,United States,Mary,7499,Consumer,WA,98115,LATAM,7499,23-04-2017,57799,Central America,199.9900055,4,199.9900055,-16.70%,-33.40000153,199.9900055
Camping & Hiking,Camping & Hiking,Riverside,United States,James,5137,Consumer,CA,92507,LATAM,5137,28-02-2017,54115,Central America,290.980011,4,299.980011,9.70%,29.10000038,299.980011
Indoor/Outdoor Games,Indoor/Outdoor Games,Seattle,United States,Mary,7499,Consumer,WA,98115,LATAM,7499,23-04-2017,57799,Central America,47.97999954,4,49.97999954,19.20%,9.600000381,49.97999954
